state_fips,year,on_road,off_road,excise
22   ,2015,3.47,3.03,0.44
22   ,2007,2.82,2.38,0.44
31   ,2021,3.48,2.97,0.51
13   ,2018,3.51,3.19,0.32
15   ,2018,3.58,3.18,0.4
34   ,2021,3.68,3.31,0.38
06   ,2027,3.63,3.21,0.42
46   ,2002,1.3,0.84,0.46
46   ,2007,2.86,2.4,0.46
47   ,2016,3.48,3.07,0.41
39   ,2004,1.77,1.26,0.5
56   ,2000,1.53,1.14,0.38
42   ,2015,3.68,3.06,0.63
05   ,2005,2.35,1.88,0.47
28   ,2001,1.35,0.92,0.43
28   ,2011,3.47,3.05,0.42
47   ,2014,3.48,3.07,0.41
18   ,2008,3.48,3.08,0.4
42   ,2017,3.68,3.06,0.63
16   ,2003,1.53,1.04,0.49
22   ,2017,3.47,3.03,0.44
27   ,2001,1.41,0.96,0.44
37   ,2011,3.51,2.96,0.54
50   ,2027,3.74,3.24,0.49
21   ,2024,3.48,3.06,0.42
01   ,2027,3.47,3.02,0.45
42   ,2012,3.68,3.06,0.63
17   ,2007,2.86,2.4,0.46
38   ,2008,3.48,3.01,0.47
36   ,2023,3.68,3.21,0.47
47   ,2028,3.48,3.07,0.41
06   ,2003,1.65,1.23,0.42
22   ,2012,3.47,3.03,0.44
26   ,2023,3.48,3.09,0.39
17   ,2002,1.3,0.84,0.46
55   ,2024,3.48,2.94,0.54
02   ,2027,3.58,3.26,0.32
32   ,2020,3.58,3.07,0.51
48   ,2002,1.28,0.83,0.44
55   ,2026,3.48,2.94,0.54
56   ,2002,1.34,0.96,0.38
27   ,2002,1.3,0.86,0.44
16   ,2027,3.46,2.96,0.49
34   ,2019,3.68,3.31,0.38
31   ,2019,3.48,2.97,0.51
21   ,2026,3.48,3.06,0.42
55   ,2008,3.48,2.94,0.54
15   ,2007,3.04,2.64,0.4
38   ,2024,3.48,3.01,0.47
35   ,2013,3.47,3,0.47
09   ,2007,2.98,2.37,0.61
21   ,2008,3.48,3.06,0.42
12   ,2016,3.51,3.11,0.4
56   ,2027,3.46,3.07,0.38
,2023,3.68,3.22,0.47
13   ,2021,3.51,3.19,0.32
42   ,2030,3.68,3.06,0.63
13   ,2001,1.35,1.03,0.32
34   ,2018,3.68,3.31,0.38
15   ,2021,3.58,3.18,0.4
29   ,2000,1.47,1.06,0.41
40   ,2000,1.47,1.09,0.38
31   ,2018,3.48,2.97,0.51
46   ,2011,3.48,3.02,0.46
48   ,2022,3.47,3.03,0.44
24   ,2009,3.68,3.2,0.49
22   ,2030,3.47,3.03,0.44
12   ,2014,3.51,3.11,0.4
38   ,2026,3.48,3.01,0.47
45   ,2000,1.45,1.05,0.4
18   ,2026,3.48,3.08,0.4
48   ,2025,3.47,3.03,0.44
12   ,2028,3.51,3.11,0.4
13   ,2019,3.51,3.19,0.32
15   ,2019,3.58,3.18,0.4
24   ,2010,3.68,3.2,0.49
09   ,2013,3.74,3.12,0.61
44   ,2029,3.74,3.19,0.54
24   ,2000,1.61,1.12,0.49
37   ,2001,1.35,0.86,0.49
44   ,2006,2.82,2.27,0.54
17   ,2011,3.48,3.02,0.46
18   ,2024,3.48,3.08,0.4
20   ,2020,3.48,2.98,0.5
32   ,2024,3.58,3.07,0.51
,2012,3.68,3.22,0.47
27   ,2016,3.48,3.04,0.44
27   ,2005,2.36,1.91,0.44
02   ,2002,1.4,1.08,0.32
13   ,2010,3.51,3.19,0.32
30   ,2016,3.46,2.94,0.52
15   ,2010,3.58,3.18,0.4
16   ,2007,2.98,2.49,0.49
33   ,2002,1.4,0.96,0.44
41   ,2000,1.61,1.12,0.48
24   ,2019,3.68,3.2,0.49
56   ,2029,3.46,3.07,0.38
09   ,2005,2.51,2.01,0.5
26   ,2030,3.48,3.09,0.39
16   ,2000,1.53,1.03,0.49
21   ,2020,3.48,3.06,0.42
36   ,2030,3.68,3.21,0.47
04   ,2013,3.58,3.16,0.42
27   ,2014,3.48,3.04,0.44
28   ,2025,3.47,3.05,0.42
39   ,2003,1.49,1,0.48
33   ,2005,2.51,2.09,0.42
29   ,2006,2.67,2.25,0.41
37   ,2025,3.51,2.96,0.54
55   ,2020,3.48,2.94,0.54
23   ,2005,2.51,2,0.51
30   ,2014,3.46,2.94,0.52
32   ,2003,1.61,1.09,0.52
32   ,2026,3.58,3.07,0.51
17   ,2001,1.41,0.95,0.46
35   ,2001,1.35,0.91,0.44
25   ,2001,1.49,1.04,0.45
20   ,2008,3.48,2.98,0.5
28   ,2022,3.47,3.05,0.42
30   ,2028,3.46,2.94,0.52
37   ,2022,3.51,2.96,0.54
,2015,3.68,3.22,0.47
27   ,2028,3.48,3.04,0.44
25   ,2002,1.4,0.95,0.45
26   ,2005,2.36,1.96,0.39
,2017,3.68,3.22,0.47
24   ,2004,1.9,1.42,0.48
24   ,2021,3.68,3.2,0.49
32   ,2005,2.57,2.05,0.51
55   ,2007,2.86,2.32,0.54
28   ,2005,2.35,1.92,0.43
51   ,2013,3.51,3.09,0.42
44   ,2027,3.74,3.19,0.54
31   ,2003,1.49,1,0.49
45   ,2005,2.36,1.95,0.4
31   ,2007,2.86,2.35,0.51
13   ,2009,3.51,3.19,0.32
15   ,2009,3.58,3.18,0.4
50   ,2002,1.4,0.9,0.5
23   ,2000,1.62,1.14,0.47
29   ,2001,1.41,0.99,0.41
06   ,2029,3.63,3.21,0.42
40   ,2013,3.48,3.11,0.37
18   ,2020,3.48,3.08,0.4
26   ,2015,3.48,3.09,0.39
51   ,2002,1.28,0.87,0.4
34   ,2007,2.97,2.59,0.38
20   ,2024,3.48,2.98,0.5
05   ,2028,3.47,3,0.47
36   ,2015,3.68,3.21,0.47
17   ,2022,3.48,3.02,0.46
26   ,2002,1.3,0.91,0.39
46   ,2025,3.48,3.02,0.46
22   ,2006,2.66,2.21,0.44
20   ,2026,3.48,2.98,0.5
36   ,2017,3.68,3.21,0.47
26   ,2017,3.48,3.09,0.39
31   ,2010,3.48,2.97,0.51
50   ,2029,3.74,3.24,0.49
34   ,2010,3.68,3.31,0.38
10   ,2028,3.68,3.22,0.46
46   ,2022,3.48,3.02,0.46
04   ,2005,2.57,2.06,0.5
38   ,2003,1.49,1.03,0.45
48   ,2011,3.47,3.03,0.44
36   ,2006,2.81,2.35,0.47
42   ,2006,2.81,2.19,0.63
01   ,2029,3.47,3.02,0.45
05   ,2016,3.47,3,0.47
47   ,2004,1.77,1.35,0.41
36   ,2012,3.68,3.21,0.47
22   ,2023,3.47,3.03,0.44
24   ,2018,3.68,3.2,0.49
10   ,2014,3.68,3.22,0.46
26   ,2012,3.48,3.09,0.39
02   ,2029,3.58,3.26,0.32
31   ,2001,1.41,0.92,0.49
,2004,1.9,1.46,0.44
42   ,2023,3.68,3.06,0.63
32   ,2008,3.58,3.07,0.51
31   ,2009,3.48,2.97,0.51
34   ,2009,3.68,3.31,0.38
38   ,2020,3.48,3.01,0.47
27   ,2006,2.67,2.22,0.44
54   ,2006,2.67,2.16,0.51
10   ,2016,3.68,3.22,0.46
16   ,2029,3.46,2.96,0.49
30   ,2002,1.34,0.82,0.52
49   ,2002,1.34,0.85,0.49
47   ,2007,2.86,2.45,0.41
,2030,3.68,3.22,0.47
05   ,2014,3.47,3,0.47
17   ,2025,3.48,3.02,0.46
17   ,2024,3.48,3.02,0.46
28   ,2008,3.47,3.05,0.42
20   ,2022,3.48,2.98,0.5
30   ,2015,3.46,2.94,0.52
45   ,2029,3.51,3.1,0.4
29   ,2027,3.48,3.07,0.41
51   ,2010,3.51,3.09,0.42
18   ,2011,3.48,3.08,0.4
27   ,2015,3.48,3.04,0.44
37   ,2008,3.51,2.96,0.54
,2028,3.68,3.22,0.47
30   ,2000,1.53,1.01,0.52
04   ,2009,3.58,3.16,0.42
35   ,2019,3.47,3,0.47
33   ,2027,3.74,3.31,0.42
20   ,2000,1.47,1.01,0.46
27   ,2017,3.48,3.04,0.44
30   ,2017,3.46,2.94,0.52
09   ,2021,3.74,3.12,0.61
31   ,2004,1.77,1.28,0.49
25   ,2007,2.98,2.53,0.45
17   ,2026,3.48,3.02,0.46
,2016,3.68,3.22,0.47
32   ,2006,2.87,2.36,0.51
09   ,2019,3.74,3.12,0.61
27   ,2012,3.48,3.04,0.44
12   ,2023,3.51,3.11,0.4
04   ,2010,3.58,3.16,0.42
10   ,2030,3.68,3.22,0.46
30   ,2012,3.46,2.94,0.52
12   ,2002,1.28,0.77,0.51
48   ,2020,3.47,3.03,0.44
40   ,2003,1.49,1.11,0.37
35   ,2021,3.47,3,0.47
46   ,2024,3.48,3.02,0.46
39   ,2027,3.48,2.96,0.52
46   ,2026,3.48,3.02,0.46
51   ,2009,3.51,3.09,0.42
34   ,2001,1.48,1.1,0.38
20   ,2025,3.48,2.98,0.5
21   ,2005,2.36,1.96,0.4
,2014,3.68,3.22,0.47
05   ,2030,3.47,3,0.47
13   ,2013,3.51,3.19,0.32
15   ,2013,3.58,3.18,0.4
38   ,2011,3.48,3.01,0.47
29   ,2005,2.36,1.94,0.41
49   ,2001,1.45,0.96,0.49
05   ,2012,3.47,3,0.47
23   ,2027,3.74,3.22,0.52
46   ,2008,3.48,3.02,0.46
36   ,2016,3.68,3.21,0.47
49   ,2004,1.86,1.38,0.48
51   ,2004,1.75,1.35,0.4
26   ,2016,3.48,3.09,0.39
53   ,2027,3.58,3,0.58
13   ,2003,1.47,1.16,0.32
01   ,2007,2.82,2.37,0.45
54   ,2027,3.51,2.95,0.56
09   ,2018,3.74,3.12,0.61
40   ,2009,3.48,3.11,0.37
35   ,2007,2.82,2.35,0.47
01   ,2005,2.35,1.92,0.43
49   ,2005,2.44,1.96,0.49
32   ,2022,3.58,3.07,0.51
55   ,2011,3.48,2.94,0.54
30   ,2004,1.86,1.34,0.52
36   ,2014,3.68,3.21,0.47
10   ,2012,3.68,3.22,0.46
25   ,2027,3.74,3.28,0.45
26   ,2014,3.48,3.09,0.39
49   ,2027,3.46,2.97,0.49
27   ,2030,3.48,3.04,0.44
08   ,2029,3.46,3.01,0.45
21   ,2011,3.48,3.06,0.42
19   ,2029,3.48,3.01,0.47
30   ,2030,3.46,2.94,0.52
55   ,2003,1.49,0.96,0.52
10   ,2017,3.68,3.22,0.46
37   ,2024,3.51,2.96,0.54
50   ,2006,2.82,2.32,0.49
26   ,2028,3.48,3.09,0.39
31   ,2013,3.48,2.97,0.51
05   ,2015,3.47,3,0.47
28   ,2024,3.47,3.05,0.42
17   ,2008,3.48,3.02,0.46
36   ,2028,3.68,3.21,0.47
34   ,2013,3.68,3.31,0.38
47   ,2023,3.48,3.07,0.41
35   ,2002,1.28,0.84,0.44
05   ,2017,3.47,3,0.47
05   ,2001,1.35,0.87,0.47
28   ,2026,3.47,3.05,0.42
41   ,2029,3.58,3.1,0.48
40   ,2010,3.48,3.11,0.37
10   ,2015,3.68,3.22,0.46
35   ,2018,3.47,3,0.47
37   ,2026,3.51,2.96,0.54
16   ,2006,2.76,2.26,0.49
41   ,2006,2.87,2.39,0.48
32   ,2025,3.58,3.07,0.51
18   ,2025,3.48,3.08,0.4
53   ,2029,3.58,3,0.58
48   ,2026,3.47,3.03,0.44
42   ,2016,3.68,3.06,0.63
23   ,2029,3.74,3.22,0.52
20   ,2003,1.49,0.98,0.5
22   ,2016,3.47,3.03,0.44
38   ,2007,2.86,2.39,0.47
38   ,2022,3.48,3.01,0.47
47   ,2015,3.48,3.07,0.41
54   ,2029,3.51,2.95,0.56
51   ,2018,3.51,3.09,0.42
05   ,2023,3.47,3,0.47
49   ,2029,3.46,2.97,0.49
08   ,2027,3.46,3.01,0.45
54   ,2003,1.47,0.98,0.49
42   ,2014,3.68,3.06,0.63
47   ,2017,3.48,3.07,0.41
25   ,2029,3.74,3.28,0.45
32   ,2004,2.02,1.51,0.51
19   ,2027,3.48,3.01,0.47
48   ,2024,3.47,3.03,0.44
40   ,2019,3.48,3.11,0.37
12   ,2030,3.51,3.11,0.4
22   ,2014,3.47,3.03,0.44
46   ,2020,3.48,3.02,0.46
10   ,2023,3.68,3.22,0.46
40   ,2021,3.48,3.11,0.37
08   ,2006,2.76,2.31,0.45
22   ,2028,3.47,3.03,0.44
47   ,2012,3.48,3.07,0.41
42   ,2028,3.68,3.06,0.63
04   ,2018,3.58,3.16,0.42
21   ,2002,1.3,0.92,0.38
17   ,2020,3.48,3.02,0.46
41   ,2027,3.58,3.1,0.48
18   ,2022,3.48,3.08,0.4
20   ,2011,3.48,2.98,0.5
20   ,2007,2.86,2.36,0.5
38   ,2025,3.48,3.01,0.47
39   ,2002,1.3,0.84,0.46
29   ,2029,3.48,3.07,0.41
09   ,2010,3.74,3.12,0.61
12   ,2015,3.51,3.11,0.4
04   ,2019,3.58,3.16,0.42
45   ,2027,3.51,3.1,0.4
24   ,2007,2.97,2.48,0.49
35   ,2009,3.47,3,0.47
49   ,2003,1.53,1.05,0.48
38   ,2002,1.3,0.85,0.45
17   ,2006,2.67,2.21,0.46
47   ,2030,3.48,3.07,0.41
55   ,2025,3.48,2.94,0.54
33   ,2029,3.74,3.31,0.42
37   ,2020,3.51,2.96,0.54
12   ,2017,3.51,3.11,0.4
28   ,2020,3.47,3.05,0.42
24   ,2013,3.68,3.2,0.49
21   ,2025,3.48,3.06,0.42
51   ,2021,3.51,3.09,0.42
22   ,2003,1.45,1.01,0.44
55   ,2022,3.48,2.94,0.54
30   ,2023,3.46,2.94,0.52
51   ,2019,3.51,3.09,0.42
12   ,2012,3.51,3.11,0.4
51   ,2001,1.35,0.94,0.4
24   ,2003,1.63,1.15,0.48
31   ,2006,2.67,2.16,0.51
39   ,2029,3.48,2.96,0.52
22   ,2000,1.44,1,0.44
21   ,2022,3.48,3.06,0.42
27   ,2023,3.48,3.04,0.44
40   ,2018,3.48,3.11,0.37
48   ,2008,3.47,3.03,0.44
35   ,2010,3.47,3,0.47
09   ,2009,3.74,3.12,0.61
54   ,2001,1.35,0.85,0.5
32   ,2011,3.58,3.07,0.51
04   ,2021,3.58,3.16,0.42
04   ,2007,3.04,2.62,0.42
42   ,2001,1.48,0.92,0.55
48   ,2010,3.47,3.03,0.44
35   ,2008,3.47,3,0.47
50   ,2014,3.74,3.24,0.49
06   ,2006,2.93,2.51,0.42
53   ,2002,1.4,0.93,0.47
55   ,2013,3.48,2.94,0.54
19   ,2017,3.48,3.01,0.47
01   ,2028,3.47,3.02,0.45
53   ,2005,2.57,2.01,0.55
02   ,2028,3.58,3.26,0.32
06   ,2016,3.63,3.21,0.42
08   ,2017,3.46,3.01,0.45
21   ,2013,3.48,3.06,0.42
24   ,2025,3.68,3.2,0.49
04   ,2020,3.58,3.16,0.42
47   ,2027,3.48,3.07,0.41
09   ,2006,2.82,2.31,0.5
08   ,2015,3.46,3.01,0.45
28   ,2019,3.47,3.05,0.42
17   ,2018,3.48,3.02,0.46
16   ,2028,3.46,2.96,0.49
50   ,2016,3.74,3.24,0.49
19   ,2015,3.48,3.01,0.47
41   ,2012,3.58,3.1,0.48
45   ,2030,3.51,3.1,0.4
02   ,2007,3.04,2.72,0.32
06   ,2014,3.63,3.21,0.42
37   ,2019,3.51,2.96,0.54
18   ,2000,1.47,1.07,0.4
19   ,2001,1.41,0.94,0.47
53   ,2023,3.58,3,0.58
23   ,2023,3.74,3.22,0.52
02   ,2016,3.58,3.26,0.32
37   ,2021,3.51,2.96,0.54
06   ,2028,3.63,3.21,0.42
28   ,2021,3.47,3.05,0.42
16   ,2014,3.46,2.96,0.49
41   ,2017,3.58,3.1,0.48
51   ,2020,3.51,3.09,0.42
54   ,2023,3.51,2.95,0.56
01   ,2016,3.47,3.02,0.45
05   ,2029,3.47,3,0.47
54   ,2002,1.28,0.78,0.5
09   ,2008,3.74,3.12,0.61
02   ,2014,3.58,3.26,0.32
49   ,2023,3.46,2.97,0.49
04   ,2004,2.02,1.52,0.5
19   ,2012,3.48,3.01,0.47
41   ,2015,3.58,3.1,0.48
48   ,2009,3.47,3.03,0.44
42   ,2000,1.61,1.05,0.55
20   ,2002,1.3,0.81,0.49
47   ,2005,2.36,1.94,0.41
25   ,2023,3.74,3.28,0.45
01   ,2000,1.44,1.01,0.43
01   ,2014,3.47,3.02,0.45
34   ,2011,3.68,3.31,0.38
08   ,2012,3.46,3.01,0.45
24   ,2022,3.68,3.2,0.49
50   ,2028,3.74,3.24,0.49
31   ,2011,3.48,2.97,0.51
35   ,2004,1.74,1.27,0.47
46   ,2018,3.48,3.02,0.46
16   ,2016,3.46,2.96,0.49
10   ,2029,3.68,3.22,0.46
17   ,2021,3.48,3.02,0.46
56   ,2016,3.46,3.07,0.38
12   ,2027,3.51,3.11,0.4
19   ,2030,3.48,3.01,0.47
45   ,2015,3.51,3.1,0.4
09   ,2026,3.74,3.12,0.61
30   ,2029,3.46,2.94,0.52
15   ,2004,2.02,1.62,0.4
15   ,2005,2.57,2.16,0.4
50   ,2003,1.64,1.14,0.5
39   ,2023,3.48,2.96,0.52
19   ,2002,1.3,0.83,0.47
27   ,2029,3.48,3.04,0.44
08   ,2030,3.46,3.01,0.45
19   ,2006,2.67,2.2,0.47
40   ,2020,3.48,3.11,0.37
46   ,2019,3.48,3.02,0.46
18   ,2013,3.48,3.08,0.4
56   ,2014,3.46,3.07,0.38
36   ,2003,1.63,1.18,0.45
09   ,2024,3.74,3.12,0.61
01   ,2004,1.74,1.32,0.42
45   ,2017,3.51,3.1,0.4
39   ,2000,1.47,1.01,0.46
29   ,2023,3.48,3.07,0.41
55   ,2001,1.41,0.89,0.52
13   ,2011,3.51,3.19,0.32
35   ,2024,3.47,3,0.47
15   ,2011,3.58,3.18,0.4
38   ,2013,3.48,3.01,0.47
45   ,2012,3.51,3.1,0.4
39   ,2001,1.41,0.94,0.46
46   ,2021,3.48,3.02,0.46
41   ,2030,3.58,3.1,0.48
56   ,2028,3.46,3.07,0.38
15   ,2000,1.61,1.2,0.4
37   ,2018,3.51,2.96,0.54
35   ,2026,3.47,3,0.47
24   ,2005,2.5,2.01,0.49
33   ,2023,3.74,3.31,0.42
28   ,2018,3.47,3.05,0.42
17   ,2019,3.48,3.02,0.46
05   ,2002,1.28,0.81,0.47
46   ,2009,3.48,3.02,0.46
30   ,2027,3.46,2.94,0.52
51   ,2026,3.51,3.09,0.42
29   ,2015,3.48,3.07,0.41
40   ,2004,1.77,1.39,0.37
39   ,2012,3.48,2.96,0.52
12   ,2029,3.51,3.11,0.4
27   ,2027,3.48,3.04,0.44
49   ,2030,3.46,2.97,0.49
04   ,2003,1.61,1.11,0.5
18   ,2006,2.67,2.26,0.4
48   ,2018,3.47,3.03,0.44
40   ,2008,3.48,3.11,0.37
33   ,2017,3.74,3.31,0.42
34   ,2022,3.68,3.31,0.38
24   ,2011,3.68,3.2,0.49
31   ,2022,3.48,2.97,0.51
25   ,2030,3.74,3.28,0.45
33   ,2015,3.74,3.31,0.42
42   ,2002,1.4,0.84,0.56
44   ,2028,3.74,3.19,0.54
38   ,2001,1.41,0.95,0.45
19   ,2000,1.47,1,0.47
54   ,2030,3.51,2.95,0.56
17   ,2010,3.48,3.02,0.46
06   ,2005,2.6,2.18,0.42
53   ,2030,3.58,3,0.58
51   ,2024,3.51,3.09,0.42
29   ,2017,3.48,3.07,0.41
23   ,2030,3.74,3.22,0.52
45   ,2023,3.51,3.1,0.4
04   ,2026,3.58,3.16,0.42
48   ,2004,1.74,1.3,0.44
44   ,2014,3.74,3.19,0.54
38   ,2006,2.67,2.19,0.47
32   ,2013,3.58,3.07,0.51
19   ,2003,1.49,1.02,0.47
16   ,2004,1.86,1.37,0.49
17   ,2009,3.48,3.02,0.46
29   ,2012,3.48,3.07,0.41
39   ,2015,3.48,2.96,0.52
41   ,2007,3.04,2.56,0.48
